Source : Pôle emploi - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à Pôle emploi par Niveau de formation - Région : La Réunion - Janvier 1996 à Décembre 2022 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?fi=04&lw=0&ss=1
Mois;Non renseigné;Niveau supérieur à Bac+2;Niveau Bac+2;Niveau Bac;Niveau BEP, CAP;Niveau CEP, BEPC;Niveau inférieur au CEP, BEPC;Total
Juin 2020;  60; 12 010; 15 960; 38 250; 65 990; 13 960; 32 610; 178 830
Juillet 2020;  70; 12 140; 16 010; 38 590; 66 020; 14 060; 32 650; 179 550
Août 2020;  70; 12 300; 16 180; 39 160; 66 530; 14 150; 32 730; 181 130
Septembre 2020;  90; 12 360; 16 170; 39 350; 66 820; 14 240; 32 800; 181 820
Octobre 2020;  80; 12 330; 16 070; 39 090; 66 490; 14 140; 32 500; 180 690
Novembre 2020;  70; 12 360; 16 040; 38 830; 66 110; 14 040; 32 300; 179 750
Décembre 2020;  60; 12 310; 15 930; 38 530; 65 950; 13 970; 32 150; 178 900
Janvier 2021;  80; 12 540; 16 110; 39 060; 66 590; 14 080; 32 230; 180 690
Février 2021;  80; 12 540; 16 060; 39 060; 66 560; 14 050; 32 160; 180 500
Mars 2021;  80; 12 590; 16 210; 39 180; 66 830; 14 150; 32 200; 181 240
Avril 2021;  70; 12 550; 16 010; 38 940; 66 450; 14 000; 31 890; 179 910
Mai 2021;  70; 12 530; 15 920; 38 860; 66 210; 14 040; 31 820; 179 440
Juin 2021;  70; 12 570; 15 950; 39 030; 66 130; 13 970; 31 680; 179 390
Juillet 2021;  80; 12 730; 16 060; 39 140; 65 930; 13 910; 31 500; 179 330
Août 2021;  90; 12 950; 16 310; 39 600; 66 370; 13 900; 31 570; 180 790
Septembre 2021;  60; 13 140; 16 300; 39 770; 66 410; 13 930; 31 490; 181 100
Octobre 2021;  70; 13 090; 16 210; 39 350; 65 820; 13 850; 31 210; 179 590
Novembre 2021;  50; 13 140; 16 140; 39 320; 65 680; 13 820; 31 120; 179 280
Décembre 2021;  50; 13 120; 15 950; 38 730; 65 140; 13 650; 30 840; 177 480
Janvier 2022;  50; 13 190; 16 020; 38 920; 65 140; 13 620; 31 180; 178 120
Février 2022;  60; 13 170; 15 870; 38 770; 64 630; 13 510; 31 020; 177 030
Mars 2022;  50; 13 260; 15 980; 39 150; 64 910; 13 640; 31 290; 178 280
Avril 2022;  50; 13 100; 15 810; 38 570; 63 750; 13 280; 31 660; 176 210
Mai 2022;  40; 13 020; 15 630; 38 150; 63 190; 13 030; 32 310; 175 370
Juin 2022;  50; 12 870; 15 420; 37 710; 62 520; 12 730; 32 930; 174 220
Juillet 2022;  50; 12 990; 15 520; 37 860; 62 520; 12 490; 33 400; 174 830
Août 2022;  70; 13 350; 15 730; 38 490; 62 950; 12 440; 34 100; 177 140
Septembre 2022;  110; 13 550; 15 720; 38 490; 62 530; 12 230; 34 360; 176 990
Octobre 2022;  110; 13 680; 15 580; 38 350; 62 070; 12 080; 34 400; 176 270
Novembre 2022;  100; 13 790; 15 520; 38 250; 62 010; 11 960; 34 590; 176 220
Décembre 2022;  100; 13 570; 15 260; 37 650; 61 280; 11 760; 34 470; 174 070

Les données présentées dans ce tableau sont arrondies à la dizaine.Pour cette raison, la somme des valeurs d’une ligne(ou d’une colonne) peut légèrement différer du total affiché.
